DateTime,Month,Hour,DayType,Season,BusinessHours,Electricity_kWh,Cooling_kWh,HeatingElec_kWh,Lighting_kWh,Equipment_kWh,Gas_kWh
2023-01-01 00:00,1,0,Weekend,Winter,No,33.58,0.0,0.0,2.68,16.08,0.02
2023-01-01 01:00,1,1,Weekend,Winter,No,33.58,0.0,0.0,2.68,16.08,0.02
2023-01-01 02:00,1,2,Weekend,Winter,No,33.58,0.0,0.0,2.68,16.08,1.1
2023-01-01 03:00,1,3,Weekend,Winter,No,33.58,0.0,0.0,2.68,16.08,0.02
2023-01-01 04:00,1,4,Weekend,Winter,No,33.58,0.0,0.0,2.68,16.08,0.02
2023-01-01 05:00,1,5,Weekend,Winter,No,34.85,0.0,1.05,2.68,16.08,1.1
2023-01-01 06:00,1,6,Weekend,Winter,No,40.63,0.0,5.92,2.68,16.08,0.02
2023-01-01 07:00,1,7,Weekend,Winter,No,29.12,0.0,4.5,2.68,16.08,1.1
2023-01-01 08:00,1,8,Weekend,Winter,No,20.6,0.0,1.38,2.68,16.08,0.02
2023-01-01 09:00,1,9,Weekend,Winter,No,18.77,0.0,0.0,2.68,16.08,0.02
2023-01-01 10:00,1,10,Weekend,Winter,No,18.77,0.0,0.0,2.68,16.08,1.1
2023-01-01 11:00,1,11,Weekend,Winter,No,18.77,0.0,0.0,2.68,16.08,0.02
2023-01-01 12:00,1,12,Weekend,Winter,No,20.85,1.28,0.0,2.68,16.08,1.1
2023-01-01 13:00,1,13,Weekend,Winter,No,22.93,2.6,0.0,2.68,16.08,0.02
2023-01-01 14:00,1,14,Weekend,Winter,No,24.33,3.8,0.0,2.68,16.08,1.1
2023-01-01 15:00,1,15,Weekend,Winter,No,20.19,1.01,0.0,2.68,16.08,0.02
2023-01-01 16:00,1,16,Weekend,Winter,No,18.77,0.0,0.0,2.68,16.08,0.02
2023-01-01 17:00,1,17,Weekend,Winter,No,28.64,0.0,0.0,2.68,16.08,1.1
2023-01-01 18:00,1,18,Weekend,Winter,No,33.58,0.0,0.0,2.68,16.08,0.02
2023-01-01 19:00,1,19,Weekend,Winter,No,33.58,0.0,0.0,2.68,16.08,1.1
2023-01-01 20:00,1,20,Weekend,Winter,No,33.58,0.0,0.0,2.68,16.08,0.02
2023-01-01 21:00,1,21,Weekend,Winter,No,33.58,0.0,0.0,2.68,16.08,0.02
2023-01-01 22:00,1,22,Weekend,Winter,No,33.58,0.0,0.0,2.68,16.08,1.1
2023-01-01 23:00,1,23,Weekend,Winter,No,33.58,0.0,0.0,2.68,16.08,0.02
2023-01-02 00:00,1,0,Weekday,Winter,No,38.94,0.0,0.0,2.68,21.44,1.1
2023-01-02 01:00,1,1,Weekday,Winter,No,38.94,0.0,0.0,2.68,21.44,0.02
2023-01-02 02:00,1,2,Weekday,Winter,No,38.94,0.0,0.0,2.68,21.44,0.02
2023-01-02 03:00,1,3,Weekday,Winter,No,38.94,0.0,0.0,2.68,21.44,1.1
2023-01-02 04:00,1,4,Weekday,Winter,No,38.94,0.0,0.0,2.68,21.44,0.02
2023-01-02 05:00,1,5,Weekday,Winter,No,46.9,0.0,4.37,5.36,21.44,1.1
2023-01-02 06:00,1,6,Weekday,Winter,No,200.84,0.0,155.47,5.36,21.44,0.02
2023-01-02 07:00,1,7,Weekday,Winter,No,172.7,0.0,115.23,16.08,32.68,8.18
