RecordID,Supplier,TimeOfDay,fc_psi,Speed_mph,CostPerCY
1,Beta,AM_Peak,4910,51.6,240.12
2,Beta,PM_Peak,3915,56.6,304.0
3,Beta,PM_Peak,4660,57.1,345.8
4,Beta,PM_Peak,3760,67.2,198.1
5,Beta,PM_Peak,4819,72.2,139.36
6,Alpha,AM_Peak,4385,62.5,157.59
7,Alpha,AM_Peak,4371,52.0,170.49
8,Beta,AM_Peak,3591,50.5,463.9
9,Beta,AM_Peak,4324,47.2,337.12
10,Beta,AM_Peak,5329,63.9,177.4
11,Beta,PM_Peak,4874,54.5,302.57
12,Alpha,AM_Peak,4584,42.0,165.38
13,Beta,AM_Peak,5530,58.9,151.15
14,Alpha,AM_Peak,4542,39.0,188.04
15,Alpha,PM_Peak,4764,62.6,353.45
16,Beta,PM_Peak,3969,64.5,181.08
17,Beta,AM_Peak,3381,60.9,311.27
18,Beta,AM_Peak,4768,49.3,149.26
19,Beta,PM_Peak,3971,38.6,197.88
20,Alpha,AM_Peak,4641,49.0,307.95
21,Beta,AM_Peak,4235,67.3,222.53
22,Alpha,PM_Peak,5024,55.5,291.58
23,Beta,PM_Peak,4247,48.0,123.99
24,Beta,PM_Peak,4107,53.3,132.29
25,Beta,PM_Peak,4534,68.9,145.9
26,Alpha,AM_Peak,4230,59.1,217.42
27,Alpha,PM_Peak,5085,62.1,150.96
28,Beta,AM_Peak,4334,62.3,185.18
29,Beta,PM_Peak,4315,61.6,187.01
30,Beta,AM_Peak,5062,50.6,197.42
31,Alpha,PM_Peak,4397,58.5,128.55
32,Alpha,AM_Peak,4972,48.5,143.17
33,Alpha,PM_Peak,4470,65.8,117.29
34,Alpha,AM_Peak,5309,64.8,139.28
35,Beta,AM_Peak,3688,60.3,496.67
36,Beta,PM_Peak,4318,55.1,200.63
37,Alpha,AM_Peak,4550,61.0,172.57
38,Alpha,AM_Peak,4230,62.5,111.92
39,Alpha,PM_Peak,4324,51.3,208.85
40,Beta,PM_Peak,4435,53.9,132.25
41,Beta,PM_Peak,4291,74.0,206.71
42,Alpha,AM_Peak,4487,47.7,175.39
43,Beta,AM_Peak,3692,42.2,129.52
44,Alpha,AM_Peak,4571,44.8,213.56
45,Beta,PM_Peak,3938,66.8,130.62
46,Alpha,AM_Peak,4446,47.6,275.05
47,Beta,PM_Peak,4601,59.4,182.69
48,Beta,AM_Peak,4239,48.5,95.45
49,Beta,PM_Peak,4695,61.4,299.05
50,Alpha,AM_Peak,4668,54.1,149.04
51,Beta,PM_Peak,4380,53.4,145.36
52,Beta,PM_Peak,5007,57.7,223.16
53,Alpha,PM_Peak,4015,54.4,162.32
54,Alpha,AM_Peak,4067,45.5,143.2
55,Alpha,PM_Peak,4628,61.3,137.49
56,Alpha,PM_Peak,3636,59.4,229.3
57,Alpha,PM_Peak,4664,57.7,207.99
58,Alpha,PM_Peak,4657,55.2,151.93
59,Alpha,PM_Peak,4590,55.8,227.93
60,Alpha,AM_Peak,5468,63.5,124.43
61,Beta,PM_Peak,5053,57.3,249.22
62,Beta,AM_Peak,3913,43.6,311.19
63,Alpha,PM_Peak,4667,58.2,184.04
64,Alpha,PM_Peak,5075,55.6,180.16
65,Beta,AM_Peak,4402,62.4,241.38
66,Alpha,PM_Peak,4148,55.5,110.59
67,Beta,AM_Peak,3943,58.2,181.75
68,Alpha,PM_Peak,4440,53.1,409.05
69,Beta,PM_Peak,4019,61.4,154.96
70,Beta,PM_Peak,4255,55.1,206.24
71,Alpha,PM_Peak,5061,45.7,208.44
72,Beta,AM_Peak,3367,46.3,88.19
73,Beta,PM_Peak,4686,55.9,283.12
74,Beta,PM_Peak,3819,52.3,251.8
75,Beta,AM_Peak,4894,51.0,251.3
76,Beta,PM_Peak,4721,60.0,241.38
77,Beta,AM_Peak,5195,47.5,171.26
78,Alpha,AM_Peak,4691,47.6,87.11
79,Alpha,AM_Peak,5111,48.3,153.02
80,Beta,PM_Peak,3809,63.8,215.32
81,Alpha,PM_Peak,5053,54.7,231.28
82,Beta,AM_Peak,4587,43.3,171.97
83,Alpha,PM_Peak,5222,46.2,151.72
84,Alpha,AM_Peak,4427,51.6,194.05
