RecordID,Location,NoiseLevel_dB
1,Roadside,65.7
2,Courtyard,42.8
3,Courtyard,57.7
4,Courtyard,38.2
5,Roadside,54.9
6,Roadside,53.2
7,Roadside,50.3
8,Courtyard,51.7
9,Roadside,43.6
10,Roadside,57.0
11,Roadside,67.0
12,Roadside,66.0
13,Courtyard,48.3
14,Roadside,54.3
15,Courtyard,56.3
16,Roadside,61.5
17,Courtyard,44.1
18,Roadside,57.2
19,Roadside,73.0
20,Roadside,67.2
21,Roadside,58.1
22,Courtyard,50.8
23,Roadside,56.2
24,Roadside,71.3
25,Courtyard,47.0
26,Roadside,75.6
27,Courtyard,40.7
28,Roadside,50.7
29,Roadside,59.8
30,Courtyard,54.5
31,Roadside,63.9
32,Courtyard,53.9
33,Courtyard,44.4
34,Roadside,69.1
35,Roadside,67.1
36,Courtyard,49.2
37,Roadside,67.1
38,Roadside,55.4
39,Roadside,64.4
40,Roadside,57.9
41,Roadside,52.7
42,Courtyard,38.3
43,Roadside,63.5
44,Roadside,57.7
45,Courtyard,52.1
46,Courtyard,47.7
47,Roadside,59.5
48,Courtyard,44.5
49,Courtyard,53.2
50,Roadside,71.3
51,Courtyard,52.4
52,Courtyard,49.7
53,Courtyard,48.5
54,Roadside,58.7
55,Courtyard,45.6
56,Roadside,63.6
57,Roadside,56.6
58,Courtyard,55.7
59,Roadside,56.4
60,Roadside,66.0
61,Roadside,65.1
62,Courtyard,48.0
63,Courtyard,45.2
64,Courtyard,48.4
65,Roadside,62.3
66,Roadside,63.6
67,Roadside,57.6
68,Courtyard,50.1
69,Courtyard,44.9
70,Courtyard,52.3
71,Roadside,66.4
72,Courtyard,48.8
73,Courtyard,51.6
74,Courtyard,52.4
75,Courtyard,52.0
76,Courtyard,60.9
77,Courtyard,44.4
78,Roadside,56.7
79,Courtyard,41.1
80,Courtyard,44.6
81,Roadside,57.8
82,Courtyard,40.8
83,Roadside,69.7
84,Courtyard,53.5
85,Roadside,64.3
86,Roadside,54.6
87,Courtyard,51.0
88,Courtyard,40.3
89,Courtyard,48.5
90,Courtyard,44.3
91,Roadside,60.6
92,Courtyard,47.0
93,Courtyard,50.4
94,Courtyard,44.5
95,Roadside,61.2
96,Roadside,60.0
97,Roadside,51.8
98,Courtyard,41.9
99,Courtyard,46.8
100,Courtyard,50.1
101,Courtyard,39.1
102,Roadside,76.4
103,Roadside,56.1
104,Courtyard,49.1
105,Courtyard,47.5
106,Courtyard,42.8
107,Roadside,62.7
108,Roadside,57.5
109,Courtyard,53.7
110,Roadside,65.3
111,Courtyard,53.0
112,Roadside,52.0
113,Courtyard,45.9
114,Courtyard,54.0
115,Roadside,64.8
116,Roadside,56.8
117,Courtyard,45.1
118,Courtyard,49.6
119,Roadside,69.3
120,Courtyard,52.2
121,Roadside,65.1
122,Courtyard,51.5
123,Roadside,74.2
124,Roadside,58.6
125,Roadside,66.9
126,Roadside,63.4
127,Courtyard,45.4
128,Roadside,72.3
129,Roadside,56.0
130,Roadside,65.9
131,Courtyard,38.2
132,Roadside,57.8
133,Roadside,62.7
134,Roadside,67.1
135,Courtyard,45.7
136,Roadside,69.8
137,Roadside,54.0
138,Courtyard,51.6
139,Roadside,57.1
140,Courtyard,42.1
141,Roadside,70.6
142,Courtyard,49.6
143,Courtyard,58.3
144,Courtyard,48.5
145,Courtyard,54.7
146,Courtyard,40.8
147,Courtyard,45.0
148,Courtyard,47.7
149,Roadside,62.0
150,Courtyard,52.0
151,Courtyard,47.0
152,Courtyard,48.7
153,Roadside,54.1
154,Courtyard,55.7
155,Roadside,62.1
156,Courtyard,46.1
157,Courtyard,49.6
158,Roadside,63.8
159,Roadside,53.1
160,Roadside,61.2
161,Roadside,56.7
162,Roadside,46.1
163,Roadside,56.2
164,Roadside,55.8
165,Courtyard,51.1
166,Courtyard,54.7
167,Roadside,60.6
168,Courtyard,56.4
169,Roadside,60.4
170,Roadside,61.4
171,Courtyard,54.7
172,Courtyard,54.3
173,Courtyard,54.1
174,Courtyard,53.0
175,Courtyard,45.0
176,Roadside,64.5
177,Roadside,72.4
178,Roadside,57.8
179,Roadside,71.3
180,Roadside,66.3
181,Courtyard,42.4
182,Courtyard,53.5
183,Roadside,72.1
184,Roadside,59.0
185,Courtyard,51.6
186,Roadside,64.8
187,Roadside,62.0
188,Roadside,56.6
189,Courtyard,46.0
190,Courtyard,50.3
191,Courtyard,48.9
192,Roadside,58.3
