ProjectID,District,County,ProjectType,ContractorID,LowBidder,ItemDescription,Unit,Quantity,UnitPrice_USD,EngineerEst_USD,LetDate
A00188972,Yoakum,Jackson,Construction,FIRM-C747,No,CEM STABIL BKFL,CY,252,300.00,215.00,2025-12-02
A00188972,Yoakum,Jackson,Construction,FIRM-8B19,No,CEM STABIL BKFL,CY,252,175.00,215.00,2025-12-02
A00188972,Yoakum,Jackson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,108,215.00,215.00,2025-12-02
A00188972,Yoakum,Jackson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,144,215.00,215.00,2025-12-02
A00188972,Yoakum,Jackson,Construction,FIRM-DC50,Yes,CEM STABIL BKFL,CY,252,198.00,215.00,2025-12-02
A00188972,Yoakum,Jackson,Construction,FIRM-81BD,No,CEM STABIL BKFL,CY,252,200.00,215.00,2025-12-02
A00188972,Yoakum,Jackson,Construction,FIRM-62E8,No,CEM STABIL BKFL,CY,252,400.00,215.00,2025-12-02
A00188972,Yoakum,Jackson,Construction,FIRM-C455,No,CEM STABIL BKFL,CY,252,169.57,215.00,2025-12-02
A00187297,Bryan,Washington,Construction,FIRM-C434,Yes,CEM STABIL BKFL,CY,1120,155.00,135.00,2024-10-01
A00126156,Laredo,La Salle,Construction,FIRM-ECFD,Yes,CEM STABIL BKFL,CY,315,126.53,190.00,2024-08-02
A00215430,Wichita Falls,Wichita,Maintenance,FIRM-F402,No,CEM STABIL BKFL,CY,50,170.00,200.00,2025-07-01
A00082318,Bryan,Robertson,Construction,FIRM-80CC,Yes,CEM STABIL BKFL,CY,396,110.00,105.00,2024-11-07
A00131977,Houston,Harris,Construction,FIRM-504D,Yes,CEM STABIL BKFL,CY,9659,62.07,85.00,2024-08-01
A00187297,Bryan,Washington,Construction,FIRM-8056,No,CEM STABIL BKFL,CY,1120,200.00,135.00,2024-10-01
A00126156,Laredo,La Salle,Construction,FIRM-336E,No,CEM STABIL BKFL,CY,315,150.00,190.00,2024-08-02
A00187297,Bryan,Washington,Construction,FIRM-80CC,No,CEM STABIL BKFL,CY,1120,130.00,135.00,2024-10-01
A00219214,Bryan,Brazos,Maintenance,FIRM-2479,No,CEM STABIL BKFL,CY,400,200.00,193.60,2026-02-10
A00213054,Dallas,Collin,Maintenance,FIRM-3FEF,No,CEM STABIL BKFL,CY,148,250.00,280.00,2025-06-11
A00216248,Dallas,Collin,Maintenance,FIRM-7362,No,CEM STABIL BKFL,CY,39,450.00,250.00,2025-10-15
A00216760,Dallas,Collin,Maintenance,FIRM-DA83,No,CEM STABIL BKFL,CY,210,350.00,207.00,2025-10-15
A00139929,Houston,Harris,Construction,FIRM-23F6,Yes,CEM STABIL BKFL,CY,2273.4,50.00,100.00,2024-11-06
A00196596,Beaumont,Liberty,Construction,FIRM-A503,Yes,CEM STABIL BKFL,CY,42,285.00,185.00,2024-08-01
A00183901,Yoakum,Matagorda,Construction,FIRM-8B19,Yes,CEM STABIL BKFL,CY,345,140.00,223.00,2024-09-06
A00217466,Fort Worth,Tarrant,Maintenance,FIRM-7362,No,CEM STABIL BKFL,CY,41,600.00,245.00,2025-10-15
A00217960,Houston,Galveston,Maintenance,FIRM-CA7F,No,CEM STABIL BKFL,CY,100,90.00,123.45,2026-03-10
A00212533,Houston,Galveston,Maintenance,FIRM-1A5E,No,CEM STABIL BKFL,CY,100,87.00,203.83,2025-06-10
A00217825,Houston,Harris,Maintenance,FIRM-3FEF,No,CEM STABIL BKFL,CY,50,300.00,250.00,2026-01-07
A00214053,Lufkin,San Augustine,Maintenance,FIRM-3FEF,No,CEM STABIL BKFL,CY,396,260.00,175.00,2025-09-17
A00218471,Pharr,Cameron,Maintenance,FIRM-8B77,No,CEM STABIL BKFL,CY,189,182.50,400.00,2025-12-04
A00213980,Pharr,Hidalgo,Maintenance,FIRM-EEB8,No,CEM STABIL BKFL,CY,2583,58.00,125.00,2025-03-05
A00216038,Wichita Falls,Archer,Maintenance,FIRM-6755,No,CEM STABIL BKFL,CY,188,280.00,215.00,2026-02-11
A00219498,Wichita Falls,Cooke,Maintenance,FIRM-C6AB,No,CEM STABIL BKFL,CY,305,300.00,215.00,2026-08-06
A00139929,Houston,Harris,Construction,FIRM-9200,No,CEM STABIL BKFL,CY,2273.4,75.00,100.00,2024-11-06
A00196596,Beaumont,Liberty,Construction,FIRM-7B58,No,CEM STABIL BKFL,CY,42,265.00,185.00,2024-08-01
A00126156,Laredo,La Salle,Construction,FIRM-81BD,No,CEM STABIL BKFL,CY,315,470.17,190.00,2024-08-02
A00126156,Laredo,La Salle,Construction,FIRM-B173,No,CEM STABIL BKFL,CY,315,197.00,190.00,2024-08-02
A00187297,Bryan,Washington,Construction,FIRM-B173,No,CEM STABIL BKFL,CY,1120,200.00,135.00,2024-10-01
A00187297,Bryan,Washington,Construction,FIRM-81BD,No,CEM STABIL BKFL,CY,1120,211.46,135.00,2024-10-01
