ProjectID,District,County,ProjectType,ContractorID,LetDate,NumBidders,WinningBid_USD,EngineerEst_USD,WorkingDays
A00220031,Lufkin,Polk,Maintenance,FIRM-6755,2026-05-13,8,156885.00,267243.80,365
A00220140,Lufkin,Houston,Maintenance,FIRM-B029,2026-05-04,5,1258375.00,775525.00,365
A00216397,Lubbock,Terry,Maintenance,FIRM-6731,2025-09-16,6,471580.00,566250.00,180
A00215967,Dallas,Dallas,Maintenance,FIRM-6621,2025-09-10,6,243600.00,147756.00,180
A00212204,Houston,Fort Bend,Maintenance,FIRM-6244,2025-08-26,7,889835.00,456333.00,70
A00217008,Lufkin,Trinity,Maintenance,FIRM-6731,2025-08-20,10,296875.00,451750.00,365
A00210519,Bryan,Milam,Maintenance,FIRM-6621,2025-08-12,5,438000.00,298400.00,365
A00214300,Dallas,Navarro,Maintenance,FIRM-6731,2025-07-09,24,103008.10,151675.70,101
A00184778,Dallas,Dallas,Construction,FIRM-3E2B,2025-02-06,8,5047479.00,4268721.15,240
A00206546,Tyler,Cherokee,Construction,FIRM-7362,2024-09-06,12,159987.10,180908.61,50
A00206956,Beaumont,Liberty,Maintenance,FIRM-D0C9,2024-11-13,6,179275.00,273650.00,365
A00213305,Brownwood,Brown,Maintenance,FIRM-3E2B,2025-03-20,5,653616.50,525106.11,365
A00213817,Bryan,Burleson,Maintenance,FIRM-2C76,2025-02-11,11,410528.00,523900.00,365
A00213095,El Paso,Brewster,Maintenance,FIRM-22C3,2025-04-08,2,1049000.00,574875.00,365
A00212006,Dallas,Collin,Maintenance,FIRM-62DB,2025-04-09,6,98500.00,47852.00,13
A00212372,Houston,Montgomery,Maintenance,FIRM-CE22,2025-01-07,4,1091048.00,1540441.18,365
A00211693,Houston,Fort Bend,Maintenance,FIRM-6755,2024-12-03,15,732257.00,985425.00,365
A00188972,Yoakum,Jackson,Construction,FIRM-DC50,2025-12-02,12,21288201.98,17962824.25,319
A00189583,Yoakum,Victoria,Construction,FIRM-4055,2026-02-05,8,497178.00,610270.00,30
A00183040,Houston,Galveston,Construction,FIRM-32EC,2025-07-02,4,72369054.00,50940000.00,900
