Date,Month,Hour,DayType,Season,BusinessHours,Outdoor_Temp_F,Zone_Temp_F,Cooling_kWh
2023-01-01 00:00,1,0,Weekend,Winter,No,43.76,74.04,62.71
2023-01-01 01:00,1,1,Weekend,Winter,No,44.96,74.57,55.38
2023-01-01 02:00,1,2,Weekend,Winter,No,44.44,74.18,56.07
2023-01-01 03:00,1,3,Weekend,Winter,No,44.06,74.62,54.14
2023-01-01 04:00,1,4,Weekend,Winter,No,42.28,74.44,53.27
2023-01-01 05:00,1,5,Weekend,Winter,No,40.37,74.58,47.83
2023-01-01 06:00,1,6,Weekend,Winter,No,38.76,73.4,44.39
2023-01-01 07:00,1,7,Weekend,Winter,No,38.57,75.13,50.05
2023-01-01 08:00,1,8,Weekend,Winter,No,41.96,75.11,42.33
2023-01-01 09:00,1,9,Weekend,Winter,No,46.9,75.0,57.42
2023-01-01 10:00,1,10,Weekend,Winter,No,51.34,75.31,60.21
2023-01-01 11:00,1,11,Weekend,Winter,No,54.74,74.51,58.53
2023-01-01 12:00,1,12,Weekend,Winter,No,57.72,75.47,64.09
2023-01-01 13:00,1,13,Weekend,Winter,No,59.0,75.9,61.34
2023-01-01 14:00,1,14,Weekend,Winter,No,60.78,75.17,62.11
2023-01-01 15:00,1,15,Weekend,Winter,No,62.06,76.31,70.71
2023-01-01 16:00,1,16,Weekend,Winter,No,61.43,75.26,67.14
2023-01-01 17:00,1,17,Weekend,Winter,No,58.67,75.43,72.02
2023-01-01 18:00,1,18,Weekend,Winter,No,55.86,75.74,72.23
2023-01-01 19:00,1,19,Weekend,Winter,No,52.73,74.94,61.97
2023-01-01 20:00,1,20,Weekend,Winter,No,49.82,75.74,58.06
2023-01-01 21:00,1,21,Weekend,Winter,No,48.92,74.83,62.89
2023-01-01 22:00,1,22,Weekend,Winter,No,46.61,73.79,47.4
2023-01-01 23:00,1,23,Weekend,Winter,No,43.28,75.3,46.85
2023-01-02 00:00,1,0,Weekday,Winter,No,40.3,74.28,48.51
2023-01-02 01:00,1,1,Weekday,Winter,No,40.17,74.63,50.5
2023-01-02 02:00,1,2,Weekday,Winter,No,40.37,74.51,49.77
2023-01-02 03:00,1,3,Weekday,Winter,No,38.76,74.13,48.52
2023-01-02 04:00,1,4,Weekday,Winter,No,39.1,74.31,51.29
2023-01-02 05:00,1,5,Weekday,Winter,No,38.76,74.17,48.08
2023-01-02 06:00,1,6,Weekday,Winter,No,37.94,74.87,49.67
2023-01-02 07:00,1,7,Weekday,Winter,No,37.94,74.3,48.43
2023-01-02 08:00,1,8,Weekday,Winter,Yes,40.88,74.22,51.03
2023-01-02 09:00,1,9,Weekday,Winter,Yes,50.02,74.89,57.5
2023-01-02 10:00,1,10,Weekday,Winter,Yes,56.72,75.48,62.24
2023-01-02 11:00,1,11,Weekday,Winter,Yes,59.7,75.02,70.39
