Date,Month,Hour,DayType,Season,BusinessHours,Outdoor_Temp_F,Zone_Temp_F,Cooling_kWh
2023-01-01 00:00,1,0,Weekend,Winter,No,43.76,68.98,2.95
2023-01-01 01:00,1,1,Weekend,Winter,No,44.96,69.35,8.91
2023-01-01 02:00,1,2,Weekend,Winter,No,44.44,69.42,11.69
2023-01-01 03:00,1,3,Weekend,Winter,No,44.06,68.79,7.52
2023-01-01 04:00,1,4,Weekend,Winter,No,42.28,68.37,2.51
2023-01-01 05:00,1,5,Weekend,Winter,No,40.37,68.43,17.95
2023-01-01 06:00,1,6,Weekend,Winter,No,38.76,67.74,7.1
2023-01-01 07:00,1,7,Weekend,Winter,No,38.57,68.61,6.95
2023-01-01 08:00,1,8,Weekend,Winter,No,41.96,69.34,2.77
2023-01-01 09:00,1,9,Weekend,Winter,No,46.9,70.05,8.71
2023-01-01 10:00,1,10,Weekend,Winter,No,51.34,70.87,32.53
2023-01-01 11:00,1,11,Weekend,Winter,No,54.74,70.12,31.91
2023-01-01 12:00,1,12,Weekend,Winter,No,57.72,70.94,39.96
2023-01-01 13:00,1,13,Weekend,Winter,No,59.0,71.07,44.12
2023-01-01 14:00,1,14,Weekend,Winter,No,60.78,70.91,31.65
2023-01-01 15:00,1,15,Weekend,Winter,No,62.06,72.7,31.87
2023-01-01 16:00,1,16,Weekend,Winter,No,61.43,70.49,43.49
2023-01-01 17:00,1,17,Weekend,Winter,No,58.67,71.76,35.68
2023-01-01 18:00,1,18,Weekend,Winter,No,55.86,70.25,36.88
2023-01-01 19:00,1,19,Weekend,Winter,No,52.73,70.27,37.47
2023-01-01 20:00,1,20,Weekend,Winter,No,49.82,70.45,34.76
2023-01-01 21:00,1,21,Weekend,Winter,No,48.92,70.26,4.79
2023-01-01 22:00,1,22,Weekend,Winter,No,46.61,69.63,14.69
2023-01-01 23:00,1,23,Weekend,Winter,No,43.28,68.98,16.37
2023-01-02 00:00,1,0,Weekday,Winter,No,40.3,69.05,5.28
2023-01-02 01:00,1,1,Weekday,Winter,No,40.17,69.29,2.06
2023-01-02 02:00,1,2,Weekday,Winter,No,40.37,69.14,1.58
2023-01-02 03:00,1,3,Weekday,Winter,No,38.76,68.33,6.05
2023-01-02 04:00,1,4,Weekday,Winter,No,39.1,69.27,2.23
2023-01-02 05:00,1,5,Weekday,Winter,No,38.76,68.56,4.18
2023-01-02 06:00,1,6,Weekday,Winter,No,37.94,67.54,0.0
2023-01-02 07:00,1,7,Weekday,Winter,No,37.94,68.63,5.74
2023-01-02 08:00,1,8,Weekday,Winter,Yes,40.88,67.07,2.01
2023-01-02 09:00,1,9,Weekday,Winter,Yes,50.02,68.84,5.3
2023-01-02 10:00,1,10,Weekday,Winter,Yes,56.72,70.42,38.26
2023-01-02 11:00,1,11,Weekday,Winter,Yes,59.7,70.2,32.98
2023-01-02 12:00,1,12,Weekday,Winter,Yes,62.14,71.41,36.64
2023-01-02 13:00,1,13,Weekday,Winter,Yes,62.96,71.26,39.75
2023-01-02 14:00,1,14,Weekday,Winter,Yes,64.74,71.16,39.77
2023-01-02 15:00,1,15,Weekday,Winter,Yes,65.39,70.82,42.42
2023-01-02 16:00,1,16,Weekday,Winter,Yes,63.78,71.46,43.54
2023-01-02 17:00,1,17,Weekday,Winter,Yes,60.65,70.93,46.04
2023-01-02 18:00,1,18,Weekday,Winter,No,57.22,71.07,39.91
2023-01-02 19:00,1,19,Weekday,Winter,No,55.42,70.92,34.57
2023-01-02 20:00,1,20,Weekday,Winter,No,53.88,70.26,27.68
2023-01-02 21:00,1,21,Weekday,Winter,No,52.43,69.56,17.07
2023-01-02 22:00,1,22,Weekday,Winter,No,51.98,70.26,17.43
2023-01-02 23:00,1,23,Weekday,Winter,No,51.98,71.02,24.76
2023-01-03 00:00,1,0,Weekday,Winter,No,51.46,69.07,13.85
2023-01-03 01:00,1,1,Weekday,Winter,No,49.82,70.67,3.85
2023-01-03 02:00,1,2,Weekday,Winter,No,50.18,70.03,11.64
2023-01-03 03:00,1,3,Weekday,Winter,No,48.66,70.47,10.77
2023-01-03 04:00,1,4,Weekday,Winter,No,46.94,69.49,0.84
2023-01-03 05:00,1,5,Weekday,Winter,No,46.94,69.42,9.87
2023-01-03 06:00,1,6,Weekday,Winter,No,46.42,69.45,9.97
2023-01-03 07:00,1,7,Weekday,Winter,No,45.41,69.64,11.96
2023-01-03 08:00,1,8,Weekday,Winter,Yes,47.27,68.5,9.89
2023-01-03 09:00,1,9,Weekday,Winter,Yes,51.86,69.81,18.4
2023-01-03 10:00,1,10,Weekday,Winter,Yes,55.74,70.33,28.24
2023-01-03 11:00,1,11,Weekday,Winter,Yes,58.8,70.63,36.84
2023-01-03 12:00,1,12,Weekday,Winter,Yes,60.6,70.6,40.48
2023-01-03 13:00,1,13,Weekday,Winter,Yes,61.61,70.76,36.83
2023-01-03 14:00,1,14,Weekday,Winter,Yes,64.9,71.06,36.55
2023-01-03 15:00,1,15,Weekday,Winter,Yes,66.4,71.37,38.93
2023-01-03 16:00,1,16,Weekday,Winter,Yes,65.39,70.85,46.65
2023-01-03 17:00,1,17,Weekday,Winter,Yes,63.26,71.89,47.41
2023-01-03 18:00,1,18,Weekday,Winter,No,59.12,71.41,38.88
2023-01-03 19:00,1,19,Weekday,Winter,No,55.86,71.08,41.93
2023-01-03 20:00,1,20,Weekday,Winter,No,53.26,70.82,31.33
2023-01-03 21:00,1,21,Weekday,Winter,No,51.46,70.66,19.94
2023-01-03 22:00,1,22,Weekday,Winter,No,50.45,69.59,14.43
2023-01-03 23:00,1,23,Weekday,Winter,No,48.84,70.72,18.67
2023-01-04 00:00,1,0,Weekday,Winter,No,46.86,68.3,14.25
2023-01-04 01:00,1,1,Weekday,Winter,No,44.26,69.14,7.67
2023-01-04 02:00,1,2,Weekday,Winter,No,41.2,69.23,6.51
2023-01-04 03:00,1,3,Weekday,Winter,No,38.76,68.32,14.18
2023-01-04 04:00,1,4,Weekday,Winter,No,37.94,68.76,7.62
2023-01-04 05:00,1,5,Weekday,Winter,No,37.42,69.19,0.0
2023-01-04 06:00,1,6,Weekday,Winter,No,36.41,68.96,0.05
2023-01-04 07:00,1,7,Weekday,Winter,No,35.96,67.85,1.32
2023-01-04 08:00,1,8,Weekday,Winter,Yes,38.9,67.45,2.45
2023-01-04 09:00,1,9,Weekday,Winter,Yes,44.46,68.6,12.14
2023-01-04 10:00,1,10,Weekday,Winter,Yes,50.51,69.07,24.33
2023-01-04 11:00,1,11,Weekday,Winter,Yes,55.37,70.3,32.91
2023-01-04 12:00,1,12,Weekday,Winter,Yes,58.18,70.21,35.86
2023-01-04 13:00,1,13,Weekday,Winter,Yes,59.63,70.52,41.86
2023-01-04 14:00,1,14,Weekday,Winter,Yes,60.08,69.38,30.88
2023-01-04 15:00,1,15,Weekday,Winter,Yes,59.45,70.37,36.05
2023-01-04 16:00,1,16,Weekday,Winter,Yes,57.22,70.01,26.18
2023-01-04 17:00,1,17,Weekday,Winter,Yes,54.78,69.61,35.86
2023-01-04 18:00,1,18,Weekday,Winter,No,52.28,69.67,32.27
2023-01-04 19:00,1,19,Weekday,Winter,No,50.45,70.55,29.19
2023-01-04 20:00,1,20,Weekday,Winter,No,48.84,69.2,30.31
2023-01-04 21:00,1,21,Weekday,Winter,No,46.24,68.57,2.7
2023-01-04 22:00,1,22,Weekday,Winter,No,43.28,69.52,10.84
2023-01-04 23:00,1,23,Weekday,Winter,No,42.08,69.26,4.68
2023-01-05 00:00,1,0,Weekday,Winter,No,39.66,68.33,13.82
2023-01-05 01:00,1,1,Weekday,Winter,No,37.94,67.74,5.51
2023-01-05 02:00,1,2,Weekday,Winter,No,37.42,68.36,12.7
2023-01-05 03:00,1,3,Weekday,Winter,No,35.88,67.9,11.16
2023-01-05 04:00,1,4,Weekday,Winter,No,34.43,68.51,0.0
2023-01-05 05:00,1,5,Weekday,Winter,No,33.46,67.24,0.0
2023-01-05 06:00,1,6,Weekday,Winter,No,33.08,67.6,0.0
2023-01-05 07:00,1,7,Weekday,Winter,No,33.08,67.59,2.56
2023-01-05 08:00,1,8,Weekday,Winter,Yes,36.54,67.85,11.01
2023-01-05 09:00,1,9,Weekday,Winter,Yes,41.96,67.8,4.29
2023-01-05 10:00,1,10,Weekday,Winter,Yes,49.31,69.0,26.96
2023-01-05 11:00,1,11,Weekday,Winter,Yes,54.74,69.33,23.7
2023-01-05 12:00,1,12,Weekday,Winter,Yes,57.1,70.02,41.4
2023-01-05 13:00,1,13,Weekday,Winter,Yes,59.18,70.58,37.96
2023-01-05 14:00,1,14,Weekday,Winter,Yes,60.08,69.89,52.59
2023-01-05 15:00,1,15,Weekday,Winter,Yes,61.24,71.5,35.22
2023-01-05 16:00,1,16,Weekday,Winter,Yes,60.28,71.37,36.56
2023-01-05 17:00,1,17,Weekday,Winter,Yes,56.69,70.34,30.87
2023-01-05 18:00,1,18,Weekday,Winter,No,52.1,70.37,31.84
2023-01-05 19:00,1,19,Weekday,Winter,No,48.84,69.95,27.12
2023-01-05 20:00,1,20,Weekday,Winter,No,45.08,69.73,29.36
2023-01-05 21:00,1,21,Weekday,Winter,No,42.98,69.43,8.29
2023-01-05 22:00,1,22,Weekday,Winter,No,41.2,68.23,5.39
2023-01-05 23:00,1,23,Weekday,Winter,No,38.24,68.67,0.0
2023-01-06 00:00,1,0,Weekday,Winter,No,35.88,67.0,1.16
2023-01-06 01:00,1,1,Weekday,Winter,No,35.58,68.69,0.0
2023-01-06 02:00,1,2,Weekday,Winter,No,35.96,67.36,0.96
2023-01-06 03:00,1,3,Weekday,Winter,No,35.96,67.98,0.0
2023-01-06 04:00,1,4,Weekday,Winter,No,35.44,67.63,5.85
2023-01-06 05:00,1,5,Weekday,Winter,No,33.9,67.79,6.91
2023-01-06 06:00,1,6,Weekday,Winter,No,32.45,69.1,0.0
