Date,Month,Hour,DayType,Season,BusinessHours,Outdoor_Temp_F,Zone_Temp_F,Cooling_kWh
2023-01-01 00:00,1,0,Weekend,Winter,No,43.76,68.44,8.02
2023-01-01 01:00,1,1,Weekend,Winter,No,44.96,69.38,5.73
2023-01-01 02:00,1,2,Weekend,Winter,No,44.44,68.23,5.87
2023-01-01 03:00,1,3,Weekend,Winter,No,44.06,69.13,0.0
2023-01-01 04:00,1,4,Weekend,Winter,No,42.28,69.84,5.06
2023-01-01 05:00,1,5,Weekend,Winter,No,40.37,67.73,0.0
2023-01-01 06:00,1,6,Weekend,Winter,No,38.76,67.12,0.0
2023-01-01 07:00,1,7,Weekend,Winter,No,38.57,67.3,0.0
2023-01-01 08:00,1,8,Weekend,Winter,No,41.96,67.73,0.0
2023-01-01 09:00,1,9,Weekend,Winter,No,46.9,68.66,0.0
2023-01-01 10:00,1,10,Weekend,Winter,No,51.34,68.33,11.56
2023-01-01 11:00,1,11,Weekend,Winter,No,54.74,70.45,10.06
2023-01-01 12:00,1,12,Weekend,Winter,No,57.72,70.69,10.61
2023-01-01 13:00,1,13,Weekend,Winter,No,59.0,70.72,8.93
2023-01-01 14:00,1,14,Weekend,Winter,No,60.78,71.95,12.97
2023-01-01 15:00,1,15,Weekend,Winter,No,62.06,71.26,21.3
2023-01-01 16:00,1,16,Weekend,Winter,No,61.43,72.12,8.35
2023-01-01 17:00,1,17,Weekend,Winter,No,58.67,71.12,14.24
2023-01-01 18:00,1,18,Weekend,Winter,No,55.86,71.14,9.07
2023-01-01 19:00,1,19,Weekend,Winter,No,52.73,69.84,8.63
2023-01-01 20:00,1,20,Weekend,Winter,No,49.82,69.59,12.36
2023-01-01 21:00,1,21,Weekend,Winter,No,48.92,68.95,7.72
2023-01-01 22:00,1,22,Weekend,Winter,No,46.61,69.07,0.0
2023-01-01 23:00,1,23,Weekend,Winter,No,43.28,67.19,0.0
2023-01-02 00:00,1,0,Weekday,Winter,No,40.3,67.24,1.44
2023-01-02 01:00,1,1,Weekday,Winter,No,40.17,67.79,0.0
2023-01-02 02:00,1,2,Weekday,Winter,No,40.37,67.76,0.0
2023-01-02 03:00,1,3,Weekday,Winter,No,38.76,68.26,0.0
2023-01-02 04:00,1,4,Weekday,Winter,No,39.1,66.86,0.0
2023-01-02 05:00,1,5,Weekday,Winter,No,38.76,68.46,0.0
2023-01-02 06:00,1,6,Weekday,Winter,No,37.94,67.99,0.0
2023-01-02 07:00,1,7,Weekday,Winter,No,37.94,67.78,0.0
2023-01-02 08:00,1,8,Weekday,Winter,Yes,40.88,66.43,24.46
2023-01-02 09:00,1,9,Weekday,Winter,Yes,50.02,68.16,43.45
2023-01-02 10:00,1,10,Weekday,Winter,Yes,56.72,69.68,31.31
2023-01-02 11:00,1,11,Weekday,Winter,Yes,59.7,69.55,35.62
2023-01-02 12:00,1,12,Weekday,Winter,Yes,62.14,70.47,30.28
2023-01-02 13:00,1,13,Weekday,Winter,Yes,62.96,70.17,45.9
2023-01-02 14:00,1,14,Weekday,Winter,Yes,64.74,69.72,42.79
2023-01-02 15:00,1,15,Weekday,Winter,Yes,65.39,70.94,16.43
2023-01-02 16:00,1,16,Weekday,Winter,Yes,63.78,69.95,23.4
2023-01-02 17:00,1,17,Weekday,Winter,Yes,60.65,70.25,8.3
2023-01-02 18:00,1,18,Weekday,Winter,No,57.22,70.08,15.96
2023-01-02 19:00,1,19,Weekday,Winter,No,55.42,70.02,8.2
2023-01-02 20:00,1,20,Weekday,Winter,No,53.88,70.01,16.4
2023-01-02 21:00,1,21,Weekday,Winter,No,52.43,70.45,11.29
2023-01-02 22:00,1,22,Weekday,Winter,No,51.98,68.97,12.31
2023-01-02 23:00,1,23,Weekday,Winter,No,51.98,69.04,7.21
2023-01-03 00:00,1,0,Weekday,Winter,No,51.46,69.6,2.5
2023-01-03 01:00,1,1,Weekday,Winter,No,49.82,68.73,11.14
2023-01-03 02:00,1,2,Weekday,Winter,No,50.18,70.21,12.22
2023-01-03 03:00,1,3,Weekday,Winter,No,48.66,68.22,1.25
2023-01-03 04:00,1,4,Weekday,Winter,No,46.94,67.54,0.0
2023-01-03 05:00,1,5,Weekday,Winter,No,46.94,68.08,5.81
2023-01-03 06:00,1,6,Weekday,Winter,No,46.42,68.46,2.63
2023-01-03 07:00,1,7,Weekday,Winter,No,45.41,69.12,3.02
2023-01-03 08:00,1,8,Weekday,Winter,Yes,47.27,66.81,21.17
2023-01-03 09:00,1,9,Weekday,Winter,Yes,51.86,68.22,34.56
2023-01-03 10:00,1,10,Weekday,Winter,Yes,55.74,69.42,27.42
2023-01-03 11:00,1,11,Weekday,Winter,Yes,58.8,68.6,42.41
2023-01-03 12:00,1,12,Weekday,Winter,Yes,60.6,69.53,36.31
2023-01-03 13:00,1,13,Weekday,Winter,Yes,61.61,69.48,37.93
2023-01-03 14:00,1,14,Weekday,Winter,Yes,64.9,70.54,40.32
2023-01-03 15:00,1,15,Weekday,Winter,Yes,66.4,70.62,10.65
2023-01-03 16:00,1,16,Weekday,Winter,Yes,65.39,71.02,12.39
2023-01-03 17:00,1,17,Weekday,Winter,Yes,63.26,71.03,11.85
2023-01-03 18:00,1,18,Weekday,Winter,No,59.12,70.96,11.56
2023-01-03 19:00,1,19,Weekday,Winter,No,55.86,70.16,11.12
2023-01-03 20:00,1,20,Weekday,Winter,No,53.26,69.85,6.72
2023-01-03 21:00,1,21,Weekday,Winter,No,51.46,69.76,5.67
2023-01-03 22:00,1,22,Weekday,Winter,No,50.45,68.36,9.14
2023-01-03 23:00,1,23,Weekday,Winter,No,48.84,69.63,9.65
2023-01-04 00:00,1,0,Weekday,Winter,No,46.86,68.77,3.68
2023-01-04 01:00,1,1,Weekday,Winter,No,44.26,68.21,0.0
2023-01-04 02:00,1,2,Weekday,Winter,No,41.2,68.32,0.0
2023-01-04 03:00,1,3,Weekday,Winter,No,38.76,66.33,0.69
2023-01-04 04:00,1,4,Weekday,Winter,No,37.94,67.51,0.0
2023-01-04 05:00,1,5,Weekday,Winter,No,37.42,67.28,0.0
2023-01-04 06:00,1,6,Weekday,Winter,No,36.41,67.26,0.0
2023-01-04 07:00,1,7,Weekday,Winter,No,35.96,66.52,0.0
2023-01-04 08:00,1,8,Weekday,Winter,Yes,38.9,67.21,16.3
2023-01-04 09:00,1,9,Weekday,Winter,Yes,44.46,66.34,22.12
2023-01-04 10:00,1,10,Weekday,Winter,Yes,50.51,68.49,29.49
2023-01-04 11:00,1,11,Weekday,Winter,Yes,55.37,69.25,28.7
2023-01-04 12:00,1,12,Weekday,Winter,Yes,58.18,68.74,30.69
2023-01-04 13:00,1,13,Weekday,Winter,Yes,59.63,70.05,41.74
2023-01-04 14:00,1,14,Weekday,Winter,Yes,60.08,68.39,40.41
2023-01-04 15:00,1,15,Weekday,Winter,Yes,59.45,69.63,16.85
2023-01-04 16:00,1,16,Weekday,Winter,Yes,57.22,68.39,6.64
2023-01-04 17:00,1,17,Weekday,Winter,Yes,54.78,69.17,8.92
2023-01-04 18:00,1,18,Weekday,Winter,No,52.28,69.26,9.21
2023-01-04 19:00,1,19,Weekday,Winter,No,50.45,69.86,3.02
2023-01-04 20:00,1,20,Weekday,Winter,No,48.84,69.4,7.14
2023-01-04 21:00,1,21,Weekday,Winter,No,46.24,68.36,11.41
2023-01-04 22:00,1,22,Weekday,Winter,No,43.28,69.09,0.0
2023-01-04 23:00,1,23,Weekday,Winter,No,42.08,68.82,0.0
2023-01-05 00:00,1,0,Weekday,Winter,No,39.66,67.21,0.0
2023-01-05 01:00,1,1,Weekday,Winter,No,37.94,67.38,0.0
2023-01-05 02:00,1,2,Weekday,Winter,No,37.42,67.94,0.0
2023-01-05 03:00,1,3,Weekday,Winter,No,35.88,65.3,0.0
2023-01-05 04:00,1,4,Weekday,Winter,No,34.43,66.5,0.0
2023-01-05 05:00,1,5,Weekday,Winter,No,33.46,65.87,0.0
2023-01-05 06:00,1,6,Weekday,Winter,No,33.08,67.27,0.0
2023-01-05 07:00,1,7,Weekday,Winter,No,33.08,66.95,0.0
2023-01-05 08:00,1,8,Weekday,Winter,Yes,36.54,64.62,15.32
2023-01-05 09:00,1,9,Weekday,Winter,Yes,41.96,66.32,21.19
2023-01-05 10:00,1,10,Weekday,Winter,Yes,49.31,67.89,30.95
2023-01-05 11:00,1,11,Weekday,Winter,Yes,54.74,69.14,36.58
2023-01-05 12:00,1,12,Weekday,Winter,Yes,57.1,69.58,22.32
2023-01-05 13:00,1,13,Weekday,Winter,Yes,59.18,68.92,34.7
2023-01-05 14:00,1,14,Weekday,Winter,Yes,60.08,70.62,33.63
2023-01-05 15:00,1,15,Weekday,Winter,Yes,61.24,71.23,16.42
2023-01-05 16:00,1,16,Weekday,Winter,Yes,60.28,70.27,12.97
