Date,Month,Hour,DayType,Season,BusinessHours,Outdoor_Temp_F,Zone_Temp_F,Cooling_kWh
2023-01-01 00:00,1,0,Weekend,Winter,No,43.76,70.4,9.65
2023-01-01 01:00,1,1,Weekend,Winter,No,44.96,70.37,9.02
2023-01-01 02:00,1,2,Weekend,Winter,No,44.44,70.73,8.2
2023-01-01 03:00,1,3,Weekend,Winter,No,44.06,69.67,11.08
2023-01-01 04:00,1,4,Weekend,Winter,No,42.28,69.58,13.62
2023-01-01 05:00,1,5,Weekend,Winter,No,40.37,70.13,7.75
2023-01-01 06:00,1,6,Weekend,Winter,No,38.76,69.13,1.0
2023-01-01 07:00,1,7,Weekend,Winter,No,38.57,69.58,8.88
2023-01-01 08:00,1,8,Weekend,Winter,No,41.96,70.0,7.15
2023-01-01 09:00,1,9,Weekend,Winter,No,46.9,72.26,12.01
2023-01-01 10:00,1,10,Weekend,Winter,No,51.34,71.27,22.76
2023-01-01 11:00,1,11,Weekend,Winter,No,54.74,72.02,28.61
2023-01-01 12:00,1,12,Weekend,Winter,No,57.72,70.81,22.63
2023-01-01 13:00,1,13,Weekend,Winter,No,59.0,72.08,25.1
2023-01-01 14:00,1,14,Weekend,Winter,No,60.78,72.49,16.92
2023-01-01 15:00,1,15,Weekend,Winter,No,62.06,72.5,29.12
2023-01-01 16:00,1,16,Weekend,Winter,No,61.43,72.7,17.85
2023-01-01 17:00,1,17,Weekend,Winter,No,58.67,72.12,31.64
2023-01-01 18:00,1,18,Weekend,Winter,No,55.86,72.57,31.86
2023-01-01 19:00,1,19,Weekend,Winter,No,52.73,72.21,25.7
2023-01-01 20:00,1,20,Weekend,Winter,No,49.82,70.69,18.57
2023-01-01 21:00,1,21,Weekend,Winter,No,48.92,70.08,25.42
2023-01-01 22:00,1,22,Weekend,Winter,No,46.61,70.26,26.21
2023-01-01 23:00,1,23,Weekend,Winter,No,43.28,68.88,13.37
2023-01-02 00:00,1,0,Weekday,Winter,No,40.3,69.23,7.84
2023-01-02 01:00,1,1,Weekday,Winter,No,40.17,69.59,13.9
2023-01-02 02:00,1,2,Weekday,Winter,No,40.37,69.92,15.6
2023-01-02 03:00,1,3,Weekday,Winter,No,38.76,71.39,13.34
2023-01-02 04:00,1,4,Weekday,Winter,No,39.1,68.42,9.84
2023-01-02 05:00,1,5,Weekday,Winter,No,38.76,69.35,9.78
2023-01-02 06:00,1,6,Weekday,Winter,No,37.94,69.84,7.12
2023-01-02 07:00,1,7,Weekday,Winter,No,37.94,69.62,14.92
2023-01-02 08:00,1,8,Weekday,Winter,Yes,40.88,69.39,3.47
2023-01-02 09:00,1,9,Weekday,Winter,Yes,50.02,70.73,15.59
2023-01-02 10:00,1,10,Weekday,Winter,Yes,56.72,70.99,22.23
2023-01-02 11:00,1,11,Weekday,Winter,Yes,59.7,71.04,22.88
2023-01-02 12:00,1,12,Weekday,Winter,Yes,62.14,72.54,18.15
2023-01-02 13:00,1,13,Weekday,Winter,Yes,62.96,70.96,24.67
2023-01-02 14:00,1,14,Weekday,Winter,Yes,64.74,71.84,25.91
2023-01-02 15:00,1,15,Weekday,Winter,Yes,65.39,72.04,22.37
2023-01-02 16:00,1,16,Weekday,Winter,Yes,63.78,70.8,23.25
2023-01-02 17:00,1,17,Weekday,Winter,Yes,60.65,71.86,33.77
2023-01-02 18:00,1,18,Weekday,Winter,No,57.22,71.77,27.34
2023-01-02 19:00,1,19,Weekday,Winter,No,55.42,72.23,29.85
2023-01-02 20:00,1,20,Weekday,Winter,No,53.88,72.19,35.49
2023-01-02 21:00,1,21,Weekday,Winter,No,52.43,71.07,22.38
2023-01-02 22:00,1,22,Weekday,Winter,No,51.98,71.57,25.77
2023-01-02 23:00,1,23,Weekday,Winter,No,51.98,71.27,32.6
2023-01-03 00:00,1,0,Weekday,Winter,No,51.46,71.45,12.21
2023-01-03 01:00,1,1,Weekday,Winter,No,49.82,70.43,11.53
2023-01-03 02:00,1,2,Weekday,Winter,No,50.18,70.58,16.07
2023-01-03 03:00,1,3,Weekday,Winter,No,48.66,69.98,12.56
2023-01-03 04:00,1,4,Weekday,Winter,No,46.94,70.74,18.52
2023-01-03 05:00,1,5,Weekday,Winter,No,46.94,71.47,13.33
2023-01-03 06:00,1,6,Weekday,Winter,No,46.42,70.21,16.23
2023-01-03 07:00,1,7,Weekday,Winter,No,45.41,70.22,5.73
