Date,Month,Hour,DayType,Season,BusinessHours,Outdoor_Temp_F,Zone_Temp_F,Cooling_kWh
2023-01-01 00:00,1,0,Weekend,Winter,No,43.76,79.97,5.58
2023-01-01 01:00,1,1,Weekend,Winter,No,44.96,79.32,5.73
2023-01-01 02:00,1,2,Weekend,Winter,No,44.44,79.3,5.37
2023-01-01 03:00,1,3,Weekend,Winter,No,44.06,79.96,9.06
2023-01-01 04:00,1,4,Weekend,Winter,No,42.28,79.27,7.47
2023-01-01 05:00,1,5,Weekend,Winter,No,40.37,76.97,3.72
2023-01-01 06:00,1,6,Weekend,Winter,No,38.76,78.18,10.16
2023-01-01 07:00,1,7,Weekend,Winter,No,38.57,79.01,4.15
2023-01-01 08:00,1,8,Weekend,Winter,No,41.96,79.59,5.15
2023-01-01 09:00,1,9,Weekend,Winter,No,46.9,80.74,7.99
2023-01-01 10:00,1,10,Weekend,Winter,No,51.34,81.98,12.0
2023-01-01 11:00,1,11,Weekend,Winter,No,54.74,82.86,9.47
2023-01-01 12:00,1,12,Weekend,Winter,No,57.72,83.74,8.1
2023-01-01 13:00,1,13,Weekend,Winter,No,59.0,84.66,11.57
2023-01-01 14:00,1,14,Weekend,Winter,No,60.78,83.84,14.88
2023-01-01 15:00,1,15,Weekend,Winter,No,62.06,85.24,13.24
2023-01-01 16:00,1,16,Weekend,Winter,No,61.43,84.0,14.61
2023-01-01 17:00,1,17,Weekend,Winter,No,58.67,83.89,10.67
2023-01-01 18:00,1,18,Weekend,Winter,No,55.86,82.23,12.12
2023-01-01 19:00,1,19,Weekend,Winter,No,52.73,82.44,8.04
2023-01-01 20:00,1,20,Weekend,Winter,No,49.82,81.58,11.46
2023-01-01 21:00,1,21,Weekend,Winter,No,48.92,80.46,11.81
2023-01-01 22:00,1,22,Weekend,Winter,No,46.61,80.42,3.67
2023-01-01 23:00,1,23,Weekend,Winter,No,43.28,80.27,5.23
2023-01-02 00:00,1,0,Weekday,Winter,No,40.3,77.88,3.7
2023-01-02 01:00,1,1,Weekday,Winter,No,40.17,76.46,3.64
2023-01-02 02:00,1,2,Weekday,Winter,No,40.37,77.59,2.93
2023-01-02 03:00,1,3,Weekday,Winter,No,38.76,77.31,4.87
2023-01-02 04:00,1,4,Weekday,Winter,No,39.1,78.05,7.94
2023-01-02 05:00,1,5,Weekday,Winter,No,38.76,78.27,8.78
2023-01-02 06:00,1,6,Weekday,Winter,No,37.94,78.03,4.02
2023-01-02 07:00,1,7,Weekday,Winter,No,37.94,77.4,5.18
2023-01-02 08:00,1,8,Weekday,Winter,Yes,40.88,79.2,12.45
2023-01-02 09:00,1,9,Weekday,Winter,Yes,50.02,80.93,14.92
2023-01-02 10:00,1,10,Weekday,Winter,Yes,56.72,82.15,13.27
2023-01-02 11:00,1,11,Weekday,Winter,Yes,59.7,82.53,15.14
2023-01-02 12:00,1,12,Weekday,Winter,Yes,62.14,84.77,18.54
2023-01-02 13:00,1,13,Weekday,Winter,Yes,62.96,85.6,18.04
2023-01-02 14:00,1,14,Weekday,Winter,Yes,64.74,83.96,15.03
2023-01-02 15:00,1,15,Weekday,Winter,Yes,65.39,85.75,15.99
2023-01-02 16:00,1,16,Weekday,Winter,Yes,63.78,85.95,19.65
2023-01-02 17:00,1,17,Weekday,Winter,Yes,60.65,82.89,14.25
2023-01-02 18:00,1,18,Weekday,Winter,No,57.22,82.67,9.96
2023-01-02 19:00,1,19,Weekday,Winter,No,55.42,83.02,10.75
2023-01-02 20:00,1,20,Weekday,Winter,No,53.88,81.96,9.71
2023-01-02 21:00,1,21,Weekday,Winter,No,52.43,83.05,7.72
2023-01-02 22:00,1,22,Weekday,Winter,No,51.98,82.35,8.31
2023-01-02 23:00,1,23,Weekday,Winter,No,51.98,82.7,9.19
2023-01-03 00:00,1,0,Weekday,Winter,No,51.46,83.03,7.8
2023-01-03 01:00,1,1,Weekday,Winter,No,49.82,81.42,9.96
2023-01-03 02:00,1,2,Weekday,Winter,No,50.18,81.14,3.46
2023-01-03 03:00,1,3,Weekday,Winter,No,48.66,81.39,9.87
2023-01-03 04:00,1,4,Weekday,Winter,No,46.94,81.45,10.11
2023-01-03 05:00,1,5,Weekday,Winter,No,46.94,80.15,9.24
2023-01-03 06:00,1,6,Weekday,Winter,No,46.42,81.49,2.13
2023-01-03 07:00,1,7,Weekday,Winter,No,45.41,79.96,5.55
2023-01-03 08:00,1,8,Weekday,Winter,Yes,47.27,79.03,11.1
2023-01-03 09:00,1,9,Weekday,Winter,Yes,51.86,81.46,15.11
2023-01-03 10:00,1,10,Weekday,Winter,Yes,55.74,83.3,14.64
2023-01-03 11:00,1,11,Weekday,Winter,Yes,58.8,83.18,15.17
2023-01-03 12:00,1,12,Weekday,Winter,Yes,60.6,83.64,14.68
2023-01-03 13:00,1,13,Weekday,Winter,Yes,61.61,82.83,16.88
2023-01-03 14:00,1,14,Weekday,Winter,Yes,64.9,86.49,18.42
