Date,Month,Hour,DayType,Season,BusinessHours,Zone_Temp_F,Outdoor_Temp_F,Cooling_kWh
2023-01-01 00:00,1,0,Weekend,Winter,No,66.68,43.76,0.0
2023-01-01 01:00,1,1,Weekend,Winter,No,66.49,44.96,0.0
2023-01-01 02:00,1,2,Weekend,Winter,No,66.27,44.44,0.0
2023-01-01 03:00,1,3,Weekend,Winter,No,66.04,44.06,0.0
2023-01-01 04:00,1,4,Weekend,Winter,No,65.62,42.28,0.0
2023-01-01 05:00,1,5,Weekend,Winter,No,65.14,40.37,0.0
2023-01-01 06:00,1,6,Weekend,Winter,No,64.7,38.76,0.0
2023-01-01 07:00,1,7,Weekend,Winter,No,64.78,38.57,0.0
2023-01-01 08:00,1,8,Weekend,Winter,No,66.9,41.96,0.0
2023-01-01 09:00,1,9,Weekend,Winter,No,69.05,46.9,0.0
2023-01-01 10:00,1,10,Weekend,Winter,No,70.29,51.34,0.0
2023-01-01 11:00,1,11,Weekend,Winter,No,70.02,54.74,0.0
2023-01-01 12:00,1,12,Weekend,Winter,No,68.93,57.72,1.28
2023-01-01 13:00,1,13,Weekend,Winter,No,69.0,59.0,2.6
2023-01-01 14:00,1,14,Weekend,Winter,No,69.51,60.78,3.8
2023-01-01 15:00,1,15,Weekend,Winter,No,70.25,62.06,1.01
2023-01-01 16:00,1,16,Weekend,Winter,No,71.58,61.43,0.0
2023-01-01 17:00,1,17,Weekend,Winter,No,71.71,58.67,0.0
2023-01-01 18:00,1,18,Weekend,Winter,No,70.23,55.86,0.0
2023-01-01 19:00,1,19,Weekend,Winter,No,69.41,52.73,0.0
2023-01-01 20:00,1,20,Weekend,Winter,No,68.69,49.82,0.0
2023-01-01 21:00,1,21,Weekend,Winter,No,68.16,48.92,0.0
2023-01-01 22:00,1,22,Weekend,Winter,No,67.63,46.61,0.0
2023-01-01 23:00,1,23,Weekend,Winter,No,67.0,43.28,0.0
2023-01-02 00:00,1,0,Weekday,Winter,No,66.58,40.3,0.0
2023-01-02 01:00,1,1,Weekday,Winter,No,66.23,40.17,0.0
2023-01-02 02:00,1,2,Weekday,Winter,No,65.95,40.37,0.0
2023-01-02 03:00,1,3,Weekday,Winter,No,65.58,38.76,0.0
2023-01-02 04:00,1,4,Weekday,Winter,No,65.29,39.1,0.0
2023-01-02 05:00,1,5,Weekday,Winter,No,65.07,38.76,0.0
2023-01-02 06:00,1,6,Weekday,Winter,No,69.77,37.94,0.0
2023-01-02 07:00,1,7,Weekday,Winter,No,69.8,37.94,0.0
2023-01-02 08:00,1,8,Weekday,Winter,Yes,70.19,40.88,0.0
2023-01-02 09:00,1,9,Weekday,Winter,Yes,70.8,50.02,0.17
2023-01-02 10:00,1,10,Weekday,Winter,Yes,70.93,56.72,3.01
2023-01-02 11:00,1,11,Weekday,Winter,Yes,71.23,59.7,6.47
2023-01-02 12:00,1,12,Weekday,Winter,Yes,71.27,62.14,9.46
2023-01-02 13:00,1,13,Weekday,Winter,Yes,71.48,62.96,10.59
2023-01-02 14:00,1,14,Weekday,Winter,Yes,71.69,64.74,12.82
2023-01-02 15:00,1,15,Weekday,Winter,Yes,72.33,65.39,14.18
2023-01-02 16:00,1,16,Weekday,Winter,Yes,72.78,63.78,11.73
2023-01-02 17:00,1,17,Weekday,Winter,Yes,71.71,60.65,7.63
2023-01-02 18:00,1,18,Weekday,Winter,No,70.58,57.22,3.56
2023-01-02 19:00,1,19,Weekday,Winter,No,70.22,55.42,1.47
2023-01-02 20:00,1,20,Weekday,Winter,No,69.89,53.88,0.15
2023-01-02 21:00,1,21,Weekday,Winter,No,69.83,52.43,0.0
2023-01-02 22:00,1,22,Weekday,Winter,No,70.24,51.98,0.0
2023-01-02 23:00,1,23,Weekday,Winter,No,70.07,51.98,0.0
2023-01-03 00:00,1,0,Weekday,Winter,No,69.73,51.46,0.0
2023-01-03 01:00,1,1,Weekday,Winter,No,69.35,49.82,0.0
2023-01-03 02:00,1,2,Weekday,Winter,No,69.09,50.18,0.0
2023-01-03 03:00,1,3,Weekday,Winter,No,68.8,48.66,0.0
2023-01-03 04:00,1,4,Weekday,Winter,No,68.43,46.94,0.0
2023-01-03 05:00,1,5,Weekday,Winter,No,68.25,46.94,0.0
2023-01-03 06:00,1,6,Weekday,Winter,No,69.84,46.42,0.0
2023-01-03 07:00,1,7,Weekday,Winter,No,69.84,45.41,0.0
2023-01-03 08:00,1,8,Weekday,Winter,Yes,70.32,47.27,0.0
2023-01-03 09:00,1,9,Weekday,Winter,Yes,71.3,51.86,0.0
2023-01-03 10:00,1,10,Weekday,Winter,Yes,71.86,55.74,1.85
2023-01-03 11:00,1,11,Weekday,Winter,Yes,71.8,58.8,5.4
2023-01-03 12:00,1,12,Weekday,Winter,Yes,71.61,60.6,7.48
2023-01-03 13:00,1,13,Weekday,Winter,Yes,71.99,61.61,8.67
2023-01-03 14:00,1,14,Weekday,Winter,Yes,72.29,64.9,12.77
2023-01-03 15:00,1,15,Weekday,Winter,Yes,72.49,66.4,14.76
2023-01-03 16:00,1,16,Weekday,Winter,Yes,72.69,65.39,13.64
2023-01-03 17:00,1,17,Weekday,Winter,Yes,71.83,63.26,11.02
2023-01-03 18:00,1,18,Weekday,Winter,No,70.86,59.12,5.76
2023-01-03 19:00,1,19,Weekday,Winter,No,70.46,55.86,2.05
2023-01-03 20:00,1,20,Weekday,Winter,No,70.11,53.26,0.07
2023-01-03 21:00,1,21,Weekday,Winter,No,69.98,51.46,0.0
2023-01-03 22:00,1,22,Weekday,Winter,No,70.9,50.45,0.0
2023-01-03 23:00,1,23,Weekday,Winter,No,70.65,48.84,0.0
2023-01-04 00:00,1,0,Weekday,Winter,No,70.08,46.86,0.0
2023-01-04 01:00,1,1,Weekday,Winter,No,69.56,44.26,0.0
2023-01-04 02:00,1,2,Weekday,Winter,No,68.97,41.2,0.0
2023-01-04 03:00,1,3,Weekday,Winter,No,68.37,38.76,0.0
2023-01-04 04:00,1,4,Weekday,Winter,No,67.89,37.94,0.0
2023-01-04 05:00,1,5,Weekday,Winter,No,67.53,37.42,0.0
2023-01-04 06:00,1,6,Weekday,Winter,No,69.89,36.41,0.0
2023-01-04 07:00,1,7,Weekday,Winter,No,69.89,35.96,0.0
2023-01-04 08:00,1,8,Weekday,Winter,Yes,70.61,38.9,0.0
2023-01-04 09:00,1,9,Weekday,Winter,Yes,71.75,44.46,0.0
2023-01-04 10:00,1,10,Weekday,Winter,Yes,72.0,50.51,0.0
2023-01-04 11:00,1,11,Weekday,Winter,Yes,71.9,55.37,1.68
2023-01-04 12:00,1,12,Weekday,Winter,Yes,71.65,58.18,5.42
2023-01-04 13:00,1,13,Weekday,Winter,Yes,71.96,59.63,7.64
2023-01-04 14:00,1,14,Weekday,Winter,Yes,72.5,60.08,8.1
2023-01-04 15:00,1,15,Weekday,Winter,Yes,73.0,59.45,6.97
2023-01-04 16:00,1,16,Weekday,Winter,Yes,73.15,57.22,3.94
2023-01-04 17:00,1,17,Weekday,Winter,Yes,72.15,54.78,0.81
2023-01-04 18:00,1,18,Weekday,Winter,No,71.01,52.28,0.0
2023-01-04 19:00,1,19,Weekday,Winter,No,70.63,50.45,0.0
2023-01-04 20:00,1,20,Weekday,Winter,No,70.24,48.84,0.0
2023-01-04 21:00,1,21,Weekday,Winter,No,70.06,46.24,0.0
2023-01-04 22:00,1,22,Weekday,Winter,No,70.34,43.28,0.0
2023-01-04 23:00,1,23,Weekday,Winter,No,69.93,42.08,0.0
2023-01-05 00:00,1,0,Weekday,Winter,No,69.32,39.66,0.0
2023-01-05 01:00,1,1,Weekday,Winter,No,68.76,37.94,0.0
2023-01-05 02:00,1,2,Weekday,Winter,No,68.32,37.42,0.0
2023-01-05 03:00,1,3,Weekday,Winter,No,67.82,35.88,0.0
2023-01-05 04:00,1,4,Weekday,Winter,No,67.33,34.43,0.0
2023-01-05 05:00,1,5,Weekday,Winter,No,66.94,33.46,0.0
2023-01-05 06:00,1,6,Weekday,Winter,No,69.9,33.08,0.0
2023-01-05 07:00,1,7,Weekday,Winter,No,69.91,33.08,0.0
2023-01-05 08:00,1,8,Weekday,Winter,Yes,70.54,36.54,0.0
2023-01-05 09:00,1,9,Weekday,Winter,Yes,71.55,41.96,0.0
2023-01-05 10:00,1,10,Weekday,Winter,Yes,71.87,49.31,0.0
2023-01-05 11:00,1,11,Weekday,Winter,Yes,71.78,54.74,0.86
2023-01-05 12:00,1,12,Weekday,Winter,Yes,71.58,57.1,3.75
2023-01-05 13:00,1,13,Weekday,Winter,Yes,71.89,59.18,6.74
2023-01-05 14:00,1,14,Weekday,Winter,Yes,72.31,60.08,7.56
2023-01-05 15:00,1,15,Weekday,Winter,Yes,72.39,61.24,8.24
2023-01-05 16:00,1,16,Weekday,Winter,Yes,72.71,60.28,7.15
2023-01-05 17:00,1,17,Weekday,Winter,Yes,71.86,56.69,2.91
2023-01-05 18:00,1,18,Weekday,Winter,No,70.89,52.1,0.0
2023-01-05 19:00,1,19,Weekday,Winter,No,70.52,48.84,0.0
2023-01-05 20:00,1,20,Weekday,Winter,No,70.16,45.08,0.0
2023-01-05 21:00,1,21,Weekday,Winter,No,70.02,42.98,0.0
2023-01-05 22:00,1,22,Weekday,Winter,No,69.92,41.2,0.0
2023-01-05 23:00,1,23,Weekday,Winter,No,69.31,38.24,0.0
2023-01-06 00:00,1,0,Weekday,Winter,No,68.6,35.88,0.0
2023-01-06 01:00,1,1,Weekday,Winter,No,68.07,35.58,0.0
2023-01-06 02:00,1,2,Weekday,Winter,No,67.67,35.96,0.0
2023-01-06 03:00,1,3,Weekday,Winter,No,67.3,35.96,0.0
2023-01-06 04:00,1,4,Weekday,Winter,No,66.97,35.44,0.0
2023-01-06 05:00,1,5,Weekday,Winter,No,66.63,33.9,0.0
2023-01-06 06:00,1,6,Weekday,Winter,No,69.89,32.45,0.0
2023-01-06 07:00,1,7,Weekday,Winter,No,69.9,33.16,0.0
2023-01-06 08:00,1,8,Weekday,Winter,Yes,70.41,37.44,0.0
2023-01-06 09:00,1,9,Weekday,Winter,Yes,71.14,44.02,0.0
2023-01-06 10:00,1,10,Weekday,Winter,Yes,71.56,50.51,0.0
2023-01-06 11:00,1,11,Weekday,Winter,Yes,71.75,55.37,1.52
2023-01-06 12:00,1,12,Weekday,Winter,Yes,71.6,59.96,7.4
2023-01-06 13:00,1,13,Weekday,Winter,Yes,71.91,63.74,13.45
2023-01-06 14:00,1,14,Weekday,Winter,Yes,72.49,65.57,16.05
2023-01-06 15:00,1,15,Weekday,Winter,Yes,72.91,66.54,16.68
2023-01-06 16:00,1,16,Weekday,Winter,Yes,73.13,64.61,13.36
2023-01-06 17:00,1,17,Weekday,Winter,Yes,72.17,60.65,7.71
2023-01-06 18:00,1,18,Weekday,Winter,No,71.02,56.06,2.13
2023-01-06 19:00,1,19,Weekday,Winter,No,70.62,52.8,0.0
2023-01-06 20:00,1,20,Weekday,Winter,No,70.21,47.89,0.0
2023-01-06 21:00,1,21,Weekday,Winter,No,70.03,44.96,0.0
2023-01-06 22:00,1,22,Weekday,Winter,No,70.25,43.8,0.0
2023-01-06 23:00,1,23,Weekday,Winter,No,69.74,40.67,0.0
2023-01-07 00:00,1,0,Weekend,Winter,No,69.03,40.8,0.0
2023-01-07 01:00,1,1,Weekend,Winter,No,68.52,40.3,0.0
2023-01-07 02:00,1,2,Weekend,Winter,No,68.03,39.54,0.0
2023-01-07 03:00,1,3,Weekend,Winter,No,67.64,39.4,0.0
2023-01-07 04:00,1,4,Weekend,Winter,No,67.18,37.86,0.0
2023-01-07 05:00,1,5,Weekend,Winter,No,66.82,38.2,0.0
2023-01-07 06:00,1,6,Weekend,Winter,No,69.88,39.54,0.0
2023-01-07 07:00,1,7,Weekend,Winter,No,69.84,38.76,0.0
2023-01-07 08:00,1,8,Weekend,Winter,No,69.97,42.04,0.0
2023-01-07 09:00,1,9,Weekend,Winter,No,70.76,48.53,0.0
2023-01-07 10:00,1,10,Weekend,Winter,No,71.19,55.07,1.53
2023-01-07 11:00,1,11,Weekend,Winter,No,71.11,61.49,9.01
2023-01-07 12:00,1,12,Weekend,Winter,No,71.07,66.35,16.38
2023-01-07 13:00,1,13,Weekend,Winter,No,71.08,69.78,22.78
2023-01-07 14:00,1,14,Weekend,Winter,No,71.14,71.06,24.27
2023-01-07 15:00,1,15,Weekend,Winter,No,71.39,71.58,23.68
2023-01-07 16:00,1,16,Weekend,Winter,No,71.46,70.81,21.29
2023-01-07 17:00,1,17,Weekend,Winter,No,70.58,67.04,15.66
2023-01-07 18:00,1,18,Weekend,Winter,No,72.01,62.63,0.0
2023-01-07 19:00,1,19,Weekend,Winter,No,71.66,56.88,0.0
2023-01-07 20:00,1,20,Weekend,Winter,No,70.94,52.8,0.0
2023-01-07 21:00,1,21,Weekend,Winter,No,70.37,50.82,0.0
2023-01-07 22:00,1,22,Weekend,Winter,No,69.87,49.37,0.0
2023-01-07 23:00,1,23,Weekend,Winter,No,69.28,46.08,0.0
2023-01-08 00:00,1,0,Weekend,Winter,No,68.71,44.06,0.0
2023-01-08 01:00,1,1,Weekend,Winter,No,68.43,45.74,0.0
2023-01-08 02:00,1,2,Weekend,Winter,No,68.08,44.63,0.0
2023-01-08 03:00,1,3,Weekend,Winter,No,67.6,42.46,0.0
2023-01-08 04:00,1,4,Weekend,Winter,No,67.15,40.82,0.0
2023-01-08 05:00,1,5,Weekend,Winter,No,66.91,42.86,0.0
2023-01-08 06:00,1,6,Weekend,Winter,No,66.82,44.96,0.0
2023-01-08 07:00,1,7,Weekend,Winter,No,66.8,44.44,0.0
2023-01-08 08:00,1,8,Weekend,Winter,No,68.84,48.68,0.0
2023-01-08 09:00,1,9,Weekend,Winter,No,71.36,56.7,0.0
2023-01-08 10:00,1,10,Weekend,Winter,No,72.61,67.01,0.0
2023-01-08 11:00,1,11,Weekend,Winter,No,71.28,73.74,7.58
2023-01-08 12:00,1,12,Weekend,Winter,No,70.83,76.18,17.63
2023-01-08 13:00,1,13,Weekend,Winter,No,71.22,78.16,15.67
2023-01-08 14:00,1,14,Weekend,Winter,No,72.0,80.13,21.35
2023-01-08 15:00,1,15,Weekend,Winter,No,72.56,80.96,17.8
2023-01-08 16:00,1,16,Weekend,Winter,No,72.79,80.44,22.43
2023-01-08 17:00,1,17,Weekend,Winter,No,73.19,75.33,2.89
2023-01-08 18:00,1,18,Weekend,Winter,No,73.61,69.65,0.0
2023-01-08 19:00,1,19,Weekend,Winter,No,72.8,63.91,0.0
2023-01-08 20:00,1,20,Weekend,Winter,No,71.86,58.04,0.0
2023-01-08 21:00,1,21,Weekend,Winter,No,71.1,54.26,0.0
2023-01-08 22:00,1,22,Weekend,Winter,No,70.48,51.9,0.0
2023-01-08 23:00,1,23,Weekend,Winter,No,70.02,51.08,0.0
2023-01-09 00:00,1,0,Weekday,Winter,No,69.86,51.08,0.0
2023-01-09 01:00,1,1,Weekday,Winter,No,69.57,50.45,0.0
2023-01-09 02:00,1,2,Weekday,Winter,No,69.31,50.63,0.0
2023-01-09 03:00,1,3,Weekday,Winter,No,69.07,50.45,0.0
2023-01-09 04:00,1,4,Weekday,Winter,No,68.77,49.37,0.0
2023-01-09 05:00,1,5,Weekday,Winter,No,68.49,47.76,0.0
2023-01-09 06:00,1,6,Weekday,Winter,No,69.84,48.1,0.0
2023-01-09 07:00,1,7,Weekday,Winter,No,69.81,48.4,0.0
2023-01-09 08:00,1,8,Weekday,Winter,Yes,70.29,51.48,0.0
2023-01-09 09:00,1,9,Weekday,Winter,Yes,71.04,59.21,5.73
2023-01-09 10:00,1,10,Weekday,Winter,Yes,71.74,65.9,14.13
2023-01-09 11:00,1,11,Weekday,Winter,Yes,71.97,70.31,21.53
2023-01-09 12:00,1,12,Weekday,Winter,Yes,71.88,73.12,27.72
2023-01-09 13:00,1,13,Weekday,Winter,Yes,72.43,74.57,30.54
2023-01-09 14:00,1,14,Weekday,Winter,Yes,73.03,75.02,32.19
2023-01-09 15:00,1,15,Weekday,Winter,Yes,72.98,74.39,27.91
2023-01-09 16:00,1,16,Weekday,Winter,Yes,73.31,73.42,26.71
2023-01-09 17:00,1,17,Weekday,Winter,Yes,72.57,70.1,20.86
2023-01-09 18:00,1,18,Weekday,Winter,No,71.35,66.84,15.35
2023-01-09 19:00,1,19,Weekday,Winter,No,70.91,64.24,11.86
2023-01-09 20:00,1,20,Weekday,Winter,No,70.44,62.96,10.22
2023-01-09 21:00,1,21,Weekday,Winter,No,70.19,60.02,6.64
2023-01-09 22:00,1,22,Weekday,Winter,No,72.08,59.7,0.0
2023-01-09 23:00,1,23,Weekday,Winter,No,72.39,59.82,0.0
2023-01-10 00:00,1,0,Weekday,Winter,No,72.04,57.22,0.0
2023-01-10 01:00,1,1,Weekday,Winter,No,71.74,55.42,0.0
2023-01-10 02:00,1,2,Weekday,Winter,No,71.57,55.04,0.0
2023-01-10 03:00,1,3,Weekday,Winter,No,71.26,53.88,0.0
2023-01-10 04:00,1,4,Weekday,Winter,No,70.82,51.9,0.0
2023-01-10 05:00,1,5,Weekday,Winter,No,70.46,50.45,0.0
2023-01-10 06:00,1,6,Weekday,Winter,No,69.98,49.37,0.0
2023-01-10 07:00,1,7,Weekday,Winter,No,69.95,48.4,0.0
2023-01-10 08:00,1,8,Weekday,Winter,Yes,70.5,50.96,0.0
2023-01-10 09:00,1,9,Weekday,Winter,Yes,70.9,55.9,2.02
2023-01-10 10:00,1,10,Weekday,Winter,Yes,71.04,60.34,7.03
2023-01-10 11:00,1,11,Weekday,Winter,Yes,71.36,63.22,10.56
2023-01-10 12:00,1,12,Weekday,Winter,Yes,71.93,64.56,12.99
2023-01-10 13:00,1,13,Weekday,Winter,Yes,72.36,65.57,15.89
2023-01-10 14:00,1,14,Weekday,Winter,Yes,72.99,67.18,18.43
2023-01-10 15:00,1,15,Weekday,Winter,Yes,73.54,68.0,19.61
2023-01-10 16:00,1,16,Weekday,Winter,Yes,73.68,67.37,17.91
2023-01-10 17:00,1,17,Weekday,Winter,Yes,72.98,64.08,12.81
2023-01-10 18:00,1,18,Weekday,Winter,No,71.61,62.06,10.1
